baseMean	log2FoldChange	lfcSE	pvalue	padj
Slc4a10	152.538802380435	-0.00929136093297304	0.0743264625373625	0.29816734471826	0.999958094925527
BC026585	27.9965525137802	0.00328988504494849	0.0740374418253595	0.36551888419197	0.999958094925527
Ptprz1	10.8689840502569	0.00116592869005415	0.0740173607568105	0.25729633057963	0.999958094925527
Pold1	2108.13849765674	0.0218632222050582	0.0708389484549851	0.455150658700339	0.999958094925527
Pold2	1143.3937535141	0.0139102554097183	0.0716118194877755	0.550913290332449	0.999958094925527
Pold3	1949.85596270396	-0.0202432420781299	0.0736820653791208	0.376701210609945	0.999958094925527
Pold4	158.960820476929	0.00829209054630473	0.0740535943975443	0.397561397325228	0.999958094925527
Hdac1	3643.19355070423	-0.0251607110042947	0.0684719376180273	0.448115074899182	0.999958094925527
Hdac3	2733.96533709439	0.0496596321085386	0.0836943193431646	0.159388348666693	0.937294843293871
Hdac2	2391.83554331869	-0.0148213764877474	0.0681175042169816	0.616229359797751	0.999958094925527
Hdac5	1104.78245636895	-0.0326549619432537	0.0796074177111801	0.181268356955974	0.951189325520959
Hdac4	1934.8629443581	-0.00115527146422173	0.0682719316241413	0.96247995920822	0.999958094925527
Hdac6	403.745813247519	-0.0190403799663002	0.0759537344698498	0.21286099072182	0.979858774993258
Hdac9	6.9574348024652	0.00206857832082338	0.0740645364096093	0.0475035319531052	NA
Hdac8	324.127908957679	0.0147050099387469	0.074818599234722	0.290463564138582	0.999958094925527
Gmpr	3.85559316494485	-0.000669311933727604	0.0740126001183598	0.648836905112386	NA
Gmps	4539.14874807868	-0.00909399258955465	0.0632943110495656	0.784426817397375	0.999958094925527
1110032F04Rik	29.6726198790851	-0.00542517059327268	0.0742291936126947	0.15117908105679	0.928604874748314
4930557J02Rik	2.28138310517443	-0.000409508957483412	0.0740147252553815	0.755526154879344	NA
Pvr	487.213673247872	0.0089314312695472	0.0729156596855989	0.582580602639518	0.999958094925527
4732471J01Rik	14.1400892722559	-0.00337405819188357	0.0740989935973335	0.195839839380833	0.965751649385966
Lix1l	2.98696627145516	-2.58532014130043e-05	0.0740079756164174	0.978854484621678	NA
Ikzf5	1563.53896503073	-0.00488248236965336	0.0687835773014458	0.848473229076355	0.999958094925527
Ikzf4	66.2634383475631	0.0138121367603935	0.0757758111877383	0.0147163107864782	0.395624977856343
Ikzf1	11368.1028254437	-0.00769857835609826	0.0567426596141558	0.832482500111809	0.999958094925527
Ikzf3	12924.5073501581	-0.00176199559598685	0.0567736811183093	0.960364136061794	0.999958094925527
Ikzf2	107.018998300784	0.00339392821849701	0.0738368703928357	0.585204236705121	0.999958094925527
H2afv	1927.73481553408	0.00568280068481484	0.0679802136507053	0.837111972638397	0.999958094925527
Mbtd1	1230.84923644931	-0.0217506649616463	0.0737683060588657	0.370132340226125	0.999958094925527
H2afx	758.815156237264	0.0200828142594008	0.0747840339559506	0.32731040529092	0.999958094925527
H2afy	10321.8957945375	0.124148484624496	0.0969443100767471	0.0266049497210852	0.508279195017308
H2afz	5821.99751844445	0.0478628116970486	0.0731675110204066	0.223260849764437	0.984943272521421
H2afj	2403.22559562402	0.0294881248209971	0.0731958002752029	0.338936240683557	0.999958094925527
Fgf18	0.777890318707971	-0.000427534012020324	0.0740242604177982	0.629820507707377	NA
Fgf13	5867.10681377114	-0.0333292611108129	0.0679141171230855	0.360401611982183	0.999958094925527
Fgf10	0.985513505286509	0.000375822081304742	0.0740237965661729	0.644690671048523	NA
Fgf16	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Dpcr1	0.764971922126941	-5.35880141536663e-05	0.0740212270346604	0.881963138772524	NA
Snrpd1	923.348874996154	0.0239464788647485	0.0758032769623591	0.279114513195456	0.999958094925527
Prss41	8.30949573173349	-6.70620213989396e-05	0.0740065648257704	0.890070563344729	0.999958094925527
Phc1	345.960815731285	-0.002648484062748	0.0728028687301309	0.841201683057361	0.999958094925527
Phc3	2112.53763274605	-0.00345473270236777	0.067654261279236	0.898647057473942	0.999958094925527
Phc2	3702.56067867159	-0.0170287411979606	0.0672813630755021	0.585809013735989	0.999958094925527
Sh2d4b	9.63212963326188	-0.000262300686945858	0.0739796663317492	0.908654370819675	0.999958094925527
Golt1b	1492.70367609439	-0.020652056801872	0.0723038581043718	0.430011888280791	0.999958094925527
Chmp3	2192.28419491543	-0.0389021570019786	0.0800208110311075	0.196100862757315	0.965994504001028
Chmp7	2927.78652375875	0.057628268038691	0.0890321040406841	0.124070446866469	0.898464814977942
Chmp6	1672.15869128512	0.00393639560405449	0.0685227947409736	0.882102163100119	0.999958094925527
Chmp5	2086.68158615042	-0.0181343380258719	0.0703205693179129	0.515114149249558	0.999958094925527
Mir6940	0.270011025735039	-0.000352142823193336	0.0740233640879504	0.769144619971636	NA
Mir6942	7.3937896594918	0.000189139620327677	0.07398949225665	0.936252855614228	NA
Gcnt2	120.678784330624	0.00732300660892603	0.0740543587052565	0.399162326210745	0.999958094925527
Mir6948	0.739135128964882	0.000411285391815394	0.074023966527275	0.680630689633012	NA
Mark4	239.653284930794	0.0135163724907537	0.0750046853517537	0.219588413958805	0.984943272521421
Mark2	5975.14496991664	-0.0796088568435239	0.0912129223459819	0.0839410955923843	0.788751869109392
Mark3	3407.45004940206	-0.0116689579398177	0.0653173970098673	0.714425681633343	0.999958094925527
Nmd3	1865.86080371466	-0.0209009775341644	0.0714371183440521	0.450784632903853	0.999958094925527
Rps15a-ps6	147.027510440029	0.0045482921204488	0.0736062512888695	0.636044564881438	0.999958094925527
Extl1	6.42947043377572	0.000941564591565595	0.0740291507652189	0.464318821838588	NA
Extl2	505.889640661667	-0.0113966689766595	0.0733349411388503	0.486133754042688	0.999958094925527
Extl3	1977.34658987658	-0.0111194576006244	0.0688129633877393	0.683748723549818	0.999958094925527
Gm7609	22.6910375141664	0.00219671092044042	0.0739940126980546	0.499137708010835	0.999958094925527
Tia1	1682.79103762686	0.0158110184682098	0.0702670018475821	0.557764624896799	0.999958094925527
Tmem160	1341.19949998328	0.0497994430169262	0.0921920856417035	0.0777997803129262	0.767100120667372
Tmem163	388.628419731818	0.0277635571168221	0.0800944029505428	0.0778282773462114	0.767100120667372
Tmem165	2119.57239390996	-0.00559041873215609	0.0673750119750011	0.842123449992499	0.999958094925527
Tmem164	2152.6549103797	-0.0349619879366237	0.0765054204038937	0.256711353782477	0.999958094925527
Tmem167	3169.64384510107	-0.0292523160566896	0.0707115885175993	0.375874958955081	0.999958094925527
Tmem169	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Tmem168	2519.31875142104	0.0033304182175495	0.066991064600181	0.908722289476818	0.999958094925527
Tbc1d8	56.5255620684158	-0.00283329434272372	0.0739147572262707	0.563697065594433	0.999958094925527
Tbc1d9	4.20135079404869	0.000169324772646972	0.0740208027540171	0.601647382850258	NA
Tbc1d1	4163.19525307731	-0.0719829403096587	0.0941801506226965	0.0937640494899692	0.819458009697631
Tbc1d2	144.878465874097	-0.000945586965299567	0.0734774632316754	0.911921560378298	0.999958094925527
Tbc1d4	902.450794003935	-0.0194213663689871	0.0742708549389156	0.355062565745811	0.999958094925527
Tbc1d5	1333.08308066764	-0.0429595680863826	0.0854659818168661	0.122890535656257	0.898464814977942
Tbc1d7	250.390301980171	0.0193629534256929	0.0771333888351856	0.0490492592779517	0.653768287697876
Spata45	2.3275524436673	0.000553046978443925	0.0740214484591927	0.477089012229282	NA
4933405E24Rik	1.97102701057302	0.000439166812208404	0.074024484777529	0.562018313349045	NA
Akirin2	1010.97749146907	-0.00442739005858491	0.0705926719216374	0.836341105021147	0.999958094925527
Akirin1	3918.81472746969	-0.0384966202767107	0.0729601104370275	0.280861126108838	0.999958094925527
Ap3m1	2243.80373047323	-0.00588519823760051	0.0677807622325724	0.830149850913221	0.999958094925527
Limd2	23730.0923097053	0.0142788759452788	0.0541866438589193	0.702861709507733	0.999958094925527
Limd1	8218.64251598846	-0.086629941464159	0.0890681935242988	0.0709956947866541	0.751212435144227
Nop58	2177.26558195796	-0.0109191903764575	0.0687673986522378	0.688194088759065	0.999958094925527
Acsf2	195.920015048925	-0.00121181592938124	0.0733752726140248	0.894862555088162	0.999958094925527
Nop56	7032.02346851636	0.00832631222491788	0.0603183504648933	0.814607698772396	0.999958094925527
Gga2	293.220154240474	0.0218057296801482	0.0776047735861312	0.0993907120920233	0.83798224231715
Sarnp	2866.57609723609	-0.0104883719378252	0.0662282270777973	0.732192610465789	0.999958094925527
Kcnip4	11.3388359860059	-0.000831709006428201	0.0739824895544842	0.741901230810315	0.999958094925527
Kcnip3	48.5165689704804	0.00984897243894021	0.0749338990699554	0.00498680120187066	0.231818342251941
Kcnip2	20.3075784264754	0.00336844582565449	0.0740754132383376	0.272748338123858	0.999958094925527
Kcnip1	0.270011025735039	-0.000352142823193336	0.0740233640879504	0.769144619971636	NA
4930447A16Rik	2.26467068572147	0.000230466749947034	0.0740195085325987	0.869497913835885	NA
Tpcn1	235.969474023083	-0.00307843447057956	0.0731445660875156	0.791033083206391	0.999958094925527
Tpcn2	372.084487923917	0.00950301212759758	0.0738289439835451	0.437161473571864	0.999958094925527
Tcirg1	1450.03938319547	0.00805102513812411	0.0694452387175482	0.751801150641822	0.999958094925527
Ltbp4	27.1217891272502	0.000843817154397782	0.0739138884106473	0.843586835953546	0.999958094925527
Ltbp3	13.8595213211312	0.00159887713526293	0.0740477662531668	0.0739719110505037	0.755335402837921
Olfr911-ps1	6.58926760806013	0.00117346675311836	0.074022446040698	0.307385837926577	NA
Chadl	0.270011025735039	-0.000352142823193336	0.0740233640879504	0.769144619971636	NA
Pappa	1.23189188160814	0.000402200840669588	0.0740240586013435	0.61728158002977	NA
9530082P21Rik	570.431121581346	-0.0113351245511152	0.0729610006039172	0.521877884073566	0.999958094925527
Cxx1a	53.758040399347	-0.00022776993040423	0.0737868253942513	0.964777852367146	0.999958094925527
Secisbp2	764.258407347924	0.0148647346539102	0.0730936050826953	0.463232005286604	0.999958094925527
Cxx1c	132.048340939785	0.00416418652168932	0.0737381222650832	0.603680620879404	0.999958094925527
Cxx1b	104.331675791765	0.00241926138541201	0.0736414837352009	0.766437960205135	0.999958094925527
Cacna1h	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Calhm2	369.451079543831	0.00777682278321364	0.0730982081061931	0.59702766586832	0.999958094925527
Cacna1a	98.1749198914005	0.00150297349810716	0.0736242256455941	0.851894664483755	0.999958094925527
Cacna1b	0.505675149224284	-2.27778652095158e-05	0.0740207726078831	0.97233400566052	NA
Cacna1c	46.2835239328803	-0.00625736197428319	0.0742633484983081	0.188772393742719	0.954790724992744
Cacna1d	33.1995627615981	0.000637093541643772	0.073882315177694	0.895996040256421	0.999958094925527
Cacna1e	1.25552453102155	0.000255940356974789	0.074020025755156	0.856391507632678	NA
Cacna1f	0.540022051470079	-0.000385144364989543	0.0740240173466055	0.681449811079217	NA
Cacna1s	3.84408397255082	-0.000405291003952366	0.0740166947593948	0.502802935065729	NA
Xrn1	2596.48874905364	-0.00206235535055368	0.0668062528322707	0.941463895330439	0.999958094925527
Xrn2	17435.9349458668	0.0831675037330805	0.0729872767971787	0.0735735758293649	0.75472867260011
Pde11a	77.6609437157016	0.000745723551306285	0.0737173147361797	0.915912024895589	0.999958094925527
Nubpl	139.184896978095	-0.00217558534699438	0.0734950290711643	0.808163558006026	0.999958094925527
Dqx1	34.640695481101	-0.00713752688132991	0.0744333813227561	0.0891502176867285	0.800208603082904
Dynlrb1	1798.37158884724	0.00109527293307097	0.0681755885284147	0.968658400680986	0.999958094925527
Mir7223	0.739930068526524	0.000284612465897554	0.0740186388630793	0.82310923797175	NA
Mir7227	10.7279105411571	-0.00107678968140319	0.073997939124986	0.599582475712104	0.999958094925527
Cnot8	4159.11127707964	4.16715098096249e-05	0.0632883511946996	0.999984363133787	0.999984363133787
Cnot3	1882.18431694635	-0.0218408047556808	0.071492798996291	0.438708634777247	0.999958094925527
Cnot2	3897.51606755729	-0.00891719416124463	0.0640623139998974	0.784319893695582	0.999958094925527
Cnot1	12241.7544859365	-0.0525168770722589	0.0667986724820214	0.203917209927696	0.97235664705156
Cnot7	2472.10386007405	-0.0439021709259245	0.0808978446992074	0.186662054577419	0.953043903758868
Cnot6	4241.64047204679	-0.0187066737331856	0.0652101970844197	0.578974373930108	0.999958094925527
Cnot4	2709.66009885727	-0.0752689461343097	0.109263568981432	0.0637677069908888	0.72658735935247
Mir3101	3.19979268509264	0.00015915508650385	0.0740086001520748	0.902911252642374	NA
